osm_id,name,category,subcategory,latitude,longitude,source,collection_date
node/10855775826,Tata,shop,car_repair,27.3690355,77.7052699,OpenStreetMap,2026-09-10
node/10855775828,Indian Oil,amenity,fuel,27.3738995,77.6985671,OpenStreetMap,2026-09-10
node/10855775829,HP,amenity,fuel,27.3765505,77.6955308,OpenStreetMap,2026-09-10
node/10855775830,McDonald's,amenity,fast_food,27.3780742,77.6928571,OpenStreetMap,2026-09-10
node/10855775831,Honda,shop,car,27.4507479,77.684626,OpenStreetMap,2026-09-10
node/10855775832,Smart Bazaar,shop,supermarket,27.3836659,77.6909774,OpenStreetMap,2026-09-10
node/10855775833,Unnamed,amenity,police,27.3872891,77.6895725,OpenStreetMap,2026-09-10
node/10855775834,Unnamed,amenity,restaurant,27.396211,77.6937765,OpenStreetMap,2026-09-10
node/10855775835,Renault,shop,car,27.3977291,77.6945328,OpenStreetMap,2026-09-10
node/10855775836,Ford,shop,car,27.3979569,77.6946061,OpenStreetMap,2026-09-10
node/10855775837,Kia,shop,car,27.397846,77.6945461,OpenStreetMap,2026-09-10
node/10855775838,Hyundai,shop,car,27.3994758,77.6949476,OpenStreetMap,2026-09-10
node/10855775839,Tata,shop,car,27.4000866,77.6950509,OpenStreetMap,2026-09-10
node/10855775840,Unnamed,amenity,restaurant,27.4019721,77.6941961,OpenStreetMap,2026-09-10
node/10855775841,Suzuki,shop,car_repair,27.4126827,77.6930404,OpenStreetMap,2026-09-10
node/10855775842,Meghmart,shop,supermarket,27.4144262,77.6931003,OpenStreetMap,2026-09-10
node/10855775843,Unnamed,shop,fuel,27.4208001,77.6940869,OpenStreetMap,2026-09-10
node/10855775844,HP,amenity,fuel,27.4347636,77.6953851,OpenStreetMap,2026-09-10
node/10855775845,HP,amenity,fuel,27.4351894,77.6961147,OpenStreetMap,2026-09-10
node/10855775846,Mahindra,shop,car,27.4505705,77.6847643,OpenStreetMap,2026-09-10
node/10855775847,Indian Oil,amenity,fuel,27.381555,77.6911407,OpenStreetMap,2026-09-10
node/10856032994,Flavours Restaurant,amenity,restaurant,27.5010845,77.6526126,OpenStreetMap,2026-09-10
node/10904656766,cafe 1,amenity,cafe,27.581993,77.6059321,OpenStreetMap,2026-09-10
node/10904656767,vishal supermarket,shop,supermarket,27.5816834,77.6061349,OpenStreetMap,2026-09-10
node/10904656768,arihant hospital,amenity,hospital,27.5818407,77.6062701,OpenStreetMap,2026-09-10
node/10904656769,State Bank of India,amenity,bank,27.581812,77.6069251,OpenStreetMap,2026-09-10
node/10904656770,shri hanuman mandir,amenity,place_of_worship,27.5823151,77.6062138,OpenStreetMap,2026-09-10
node/10904656771,garage motor,shop,car_repair,27.5823788,77.6067843,OpenStreetMap,2026-09-10
node/10904656772,restaurant 1,amenity,restaurant,27.5823426,77.6068857,OpenStreetMap,2026-09-10
node/10904656773,vishnu super market,shop,supermarket,27.5818956,77.6070617,OpenStreetMap,2026-09-10
node/10904656775,cake shop,amenity,restaurant,27.5819992,77.6067983,OpenStreetMap,2026-09-10
node/10904656776,shriji supermarket,shop,supermarket,27.5816429,77.6066134,OpenStreetMap,2026-09-10
node/10904656777,temple,amenity,place_of_worship,27.5821124,77.6065598,OpenStreetMap,2026-09-10
node/10904656778,balaji garage,shop,car_repair,27.5817277,77.6071278,OpenStreetMap,2026-09-10
node/10904656779,garment shop,shop,supermarket,27.5815666,77.6065962,OpenStreetMap,2026-09-10
node/10904656781,fresh fruits shop,shop,supermarket,27.5814954,77.6065063,OpenStreetMap,2026-09-10
node/10904656782,Unnamed,amenity,restaurant,27.5816073,77.6070513,OpenStreetMap,2026-09-10
node/10904656784,Bank of India,amenity,bank,27.5815937,77.6060894,OpenStreetMap,2026-09-10
node/10904656785,hanuman temple,amenity,place_of_worship,27.5816537,77.6068816,OpenStreetMap,2026-09-10
node/10904656786,steel shop,shop,yes,27.5816266,77.6067153,OpenStreetMap,2026-09-10
node/10904656787,vishal stationary shop,shop,stationery,27.5813742,77.6064208,OpenStreetMap,2026-09-10
node/10904656788,mehta nursing home,amenity,social_facility,27.5814031,77.6060784,OpenStreetMap,2026-09-10
node/10904656789,drishti eye clinic,shop,optician,27.5811179,77.6058857,OpenStreetMap,2026-09-10
node/10904656791,Pizza Hut,amenity,restaurant,27.582372,77.6073076,OpenStreetMap,2026-09-10
node/10904656792,bansal restaurant,amenity,restaurant,27.5823626,77.6074695,OpenStreetMap,2026-09-10
node/10904656793,family cafe,amenity,cafe,27.5823158,77.6075082,OpenStreetMap,2026-09-10
node/10904656794,vishal mega mart,shop,supermarket,27.5820288,77.6075434,OpenStreetMap,2026-09-10
